id,name,host_id,host_since,host_total_listings_count,latitude,longitude,neighbourhood_cleansed,property_type,room_type,square_feet,price,review_scores_rating,z_score
36237236,Habitación amueblada para una o dos personas,126174889,2017-04-16,3,19.33316,-99.10239,Iztapalapa,Tiny house,Entire home/apt,,379.0,93.0,-0.2072697414212365
36237468,"Suite Normandie, en el corazón de la Condesa.",92734255,2016-08-31,0,19.41413,-99.17189,Cuauhtémoc,Apartment,Entire home/apt,,1432.0,97.0,0.0442442930957627
36237680,Bonito cuarto privado con baño completo en Condesa,64112165,2016-03-22,1,19.414820000000002,-99.16914,Cuauhtémoc,Apartment,Private room,,500.0,87.0,-0.17836831865147687
36238118,Adorable habitación privada en Benito Juárez,127265161,2017-04-23,1,19.378610000000002,-99.14582,Benito Juárez,Apartment,Private room,,245.0,,-0.23927627572824306
36238337,Cozy and central steps away from Reforma Av.,178427450,2018-03-14,6,19.43701,-99.16176999999999,Cuauhtémoc,Apartment,Entire home/apt,,1494.0,96.0,0.059053286581094086
36240628,"New independent loft near Coyoacán, Metro&Downtown",236637186,2019-01-14,1,19.35267,-99.14820999999999,Coyoacán,Loft,Entire home/apt,,691.0,92.0,-0.1327470645273108
36241938,"Cozy Studio Loft. Seguridad, privacidad y práctico",65155381,2016-03-31,3,19.44114,-99.15154,Cuauhtémoc,Apartment,Entire home/apt,,475.0,90.0,-0.1843396869923363
36243611,Departamento boutique/ terraza /vistas panorámicas,76729934,2016-06-09,3,19.34137,-99.22287,Álvaro Obregón,Condominium,Entire home/apt,,1984.0,100.0,0.17609210606193892
36253158,Habitación ubicada en buena zona en DEPAamueblado,205428981,2018-07-27,1,19.39246,-99.18021999999999,Benito Juárez,Apartment,Private room,,205.0,,-0.24883046507361814
36262146,Interior designer's apt. in the heart of the city,5539080,2013-03-19,17,19.42475,-99.15883000000001,Cuauhtémoc,Apartment,Entire home/apt,,1091.0,96.0,-0.03720517107355993
36263032,Genial Alojamiento completo para ti :),162121942,2017-12-10,1,19.44517,-99.20435,Miguel Hidalgo,Apartment,Entire home/apt,,453.0,97.0,-0.1895944911322926
36267244,"Casa de la greca  ,cuarto verde",225406370,2018-11-12,2,19.35361,-99.16046,Coyoacán,Guest suite,Private room,,306.0,95.0,-0.22470613697654604
36268998,Tu casa frente al parque,15726199,2014-05-19,1,19.372729999999997,-99.15739,Benito Juárez,Apartment,Entire home/apt,,847.0,,-0.09548572608034797
36269629,"LINDO DEPA EN POLANCO, SÚPER UBICACIÓN",272781785,2019-07-01,1,19.43572,-99.2081,Miguel Hidalgo,Apartment,Private room,,500.0,,-0.17836831865147687
36270863,"LAS VIÑAS — Bedroom in Huge, Sunny Roma Norte Apt",264595085,2019-05-27,4,19.41755,-99.16329,Cuauhtémoc,Apartment,Private room,,659.0,100.0,-0.14039041600361088
36271283,Habitación con baño privado Céntrica Cdmx/English,40323474,2015-08-02,1,19.36714,-99.14031999999999,Benito Juárez,Apartment,Private room,,245.0,100.0,-0.23927627572824306
36271906,Cuarto privado en Coyoacán,130983693,2017-05-18,2,19.35065,-99.14860999999999,Coyoacán,Apartment,Private room,,217.0,100.0,-0.24596420827000562
36272326,LAS VIÑAS EN LA BRISA — 2 Rooms in Roma Norte Apt,264595085,2019-05-27,4,19.41755,-99.16329,Cuauhtémoc,Apartment,Private room,,1341.0,,0.022508512335034373
36272420,Departamentos Amueblados en la Napoles,244406303,2019-02-20,1,19.384929999999997,-99.17896999999999,Benito Juárez,Apartment,Entire home/apt,,669.0,100.0,-0.1380018686672671
36272672,Experiencias Ollin,106856552,2016-12-10,2,19.458460000000002,-99.06608,Gustavo A. Madero,House,Private room,,223.0,100.0,-0.24453107986819936
36272682,Lovely house w/ rooftop in the heart of Condesa,4338811,2012-12-06,2,19.41398,-99.17957,Cuauhtémoc,House,Entire home/apt,,1591.0,100.0,0.08222219574362867
36273434,50 % off Luxuriously appointed 1BR Apt in Polanco,272800048,2019-07-01,1,19.43891,-99.18875,Miguel Hidalgo,Apartment,Entire home/apt,,1705.0,100.0,0.10945163537794768
36276230,El depa Bonito,64463778,2016-03-25,0,19.37292,-99.26352,Álvaro Obregón,Apartment,Entire home/apt,,2006.0,100.0,0.18134691020189522
36276240,Fantástica Habitación/Awesome room,272832772,2019-07-01,1,19.42063,-99.17054,Cuauhtémoc,Condominium,Private room,,702.0,100.0,-0.13011966245733267
36276566,Beautiful Apartment in Mexico City Downtown,69418284,2016-04-28,1,19.4329,-99.14346,Cuauhtémoc,Apartment,Entire home/apt,,747.0,99.0,-0.11937119944378569
36277227,"Charming, Mexican Apartment with Incredible View",11416604,2014-01-18,2,19.418470000000003,-99.17775,Cuauhtémoc,Apartment,Private room,,500.0,,-0.17836831865147687
36277280,Vista hermosa en Dpto Be Grand Polanco 4 recamaras,113471366,2017-01-27,7,19.44003,-99.18188,Miguel Hidalgo,Condominium,Entire home/apt,,3304.0,92.0,0.49138035445931677
36277320,Casa Parque España - 5 Recámaras/3 Baños,4868281,2013-01-27,1,19.41444,-99.17281,Cuauhtémoc,House,Entire home/apt,,4000.0,99.0,0.6576232490688433
36277844,ART DECO CONDESA! Increíble depto en col. Condesa,179800202,2018-03-21,45,19.40587,-99.1782,Cuauhtémoc,Apartment,Entire home/apt,,1093.0,94.0,-0.03672746160629117
36278224,Exclusive apartment in beautiful area in coyoacan,50510816,2015-12-04,4,19.35134,-99.17351,Coyoacán,Condominium,Entire home/apt,,2167.0,,0.21980252231702996
36278435,Fabulous room beside Palacio de Hierro Polanco P4,4647678,2013-01-09,11,19.43308,-99.19821,Miguel Hidalgo,Condominium,Private room,,1204.0,94.0,-0.010214586172875306
36278503,Lovely suite in  The  The heart of Coyoacán,50510816,2015-12-04,4,19.34682,-99.17253000000001,Coyoacán,Condominium,Entire home/apt,,602.0,,-0.15400513582077038
36278734,Studio muy cerca de la fuente de la Diana Cazadora,66118369,2016-04-06,2,19.4219,-99.1724,Cuauhtémoc,Apartment,Entire home/apt,,724.0,97.0,-0.12486485831737637
36278981,ESTUDIO SEGURO EN EL CORAZÓN DEL CENTRO HISTÓRICO,17630122,2014-07-04,5,19.42922,-99.13552,Cuauhtémoc,Apartment,Entire home/apt,,607.0,93.0,-0.1528108621525985
36279236,estudio/loft en Coyoacan,50510816,2015-12-04,4,19.34809,-99.17155,Coyoacán,Tiny house,Entire home/apt,,590.0,,-0.1568713926243829
36279451,Espacio armonioso y confortable,272552074,2019-06-30,2,19.338079999999998,-99.18356999999999,Coyoacán,Apartment,Entire home/apt,,713.0,100.0,-0.1274922603873545
36279473,Hermoso y moderno Penthouse,60431560,2016-02-25,3,19.33222,-99.14466999999999,Coyoacán,Apartment,Entire home/apt,,1337.0,96.0,0.021553093400496864
36279589,Hermosas cabañas rústicas rumbo Ajusco,272851699,2019-07-01,1,19.23622,-99.17763000000001,Tlalpan,House,Entire home/apt,,1692.0,,0.10634652384070077
36280055,"11 per 4bdr,4bth,8beds,super location,insurgentes,",272850665,2019-07-01,1,19.36901,-99.18285999999999,Benito Juárez,Apartment,Entire home/apt,,1895.0,90.0,0.15483403476847934
36280230,Full apartment in the heart of Polanco,5220231,2013-02-25,1,19.435570000000002,-99.19025,Miguel Hidalgo,Apartment,Entire home/apt,,2000.0,100.0,0.17991378180008896
36281663,Cómoda y cálida habitación en zona céntrica CDMX,223486778,2018-10-31,2,19.44077,-99.16639,Cuauhtémoc,Apartment,Private room,,317.0,95.0,-0.2220787349065679
36282631,Welcome to your apartment in Mexico City!,272887142,2019-07-01,1,19.403010000000002,-99.17554,Miguel Hidalgo,Apartment,Entire home/apt,,656.0,99.0,-0.141106980204514
36300454,"Departamento acogedor y buena vibra, café y pan!",99125393,2016-10-10,1,19.30978,-99.10307,Coyoacán,Apartment,Private room,,182.0,,-0.2543241239472088
36302538,Un cuatro minimalista Del Valle buena vista,273016096,2019-07-02,1,19.367279999999997,-99.17385999999999,Benito Juárez,Apartment,Private room,,401.0,100.0,-0.2020149372812802
36302737,Loft de ensueño en el centro histórico!,217439748,2018-09-26,1,19.43243,-99.14817,Cuauhtémoc,Loft,Entire home/apt,,928.0,99.0,-0.07613849265596341
36304426,Loft en el Centro Histórico de la CDMX,119507082,2017-03-06,42,19.4318,-99.14933,Cuauhtémoc,Loft,Private room,,611.0,78.0,-0.151855443218061
36304980,Hermosa Recamara Sur Df cerca del Tec y hospitales,29735586,2015-03-21,7,19.30049,-99.16479,Tlalpan,Apartment,Private room,,503.0,100.0,-0.17765175445057374
36305728,"Modern Mexican House POLANCO, LARGE GROUPS",273039345,2019-07-02,1,19.435679999999998,-99.19513,Miguel Hidalgo,House,Entire home/apt,,6569.0,88.0,1.2712410597755583
36306091,Zen Loft dentro de casa con jardines Santa Fe,273041452,2019-07-02,1,19.368270000000003,-99.27693000000001,Cuajimalpa de Morelos,Loft,Entire home/apt,,490.0,,-0.18075686598782065
36306246,Loft/Pent House in Roma Norte,18015070,2014-07-12,6,19.41196,-99.16141999999999,Cuauhtémoc,Loft,Entire home/apt,,860.0,98.0,-0.09238061454310106
36306988,CASA MARIA ELENA CONDESA,273046572,2019-07-02,1,19.41319,-99.17458,Cuauhtémoc,House,Private room,,1455.0,100.0,0.04973795196935338
36312423,Departamento en renta a 10 minutos de Santa Fe,107984916,2016-12-21,0,19.36391,-99.2784,Cuajimalpa de Morelos,Apartment,Entire home/apt,,1226.0,,-0.004959782032919006
36313624,Fabulous room inside an apartment in Polanco VM1,4647678,2013-01-09,11,19.43695,-99.20813000000001,Miguel Hidalgo,Condominium,Private room,,909.0,93.0,-0.08067673259501658
36314595,"Beautiful and new apartment, excellent location!",18062894,2014-07-13,0,19.419,-99.14631,Cuauhtémoc,Apartment,Entire home/apt,,1092.0,,-0.03696631633992555
